date,species,mean_value,max_value,latitude,longitude
2026-05-26,alder_pollen,0.0,0.0,55.9533,-3.1883
2026-05-26,birch_pollen,0.63,2.0,55.9533,-3.1883
2026-05-26,grass_pollen,1.3,1.9,55.9533,-3.1883
2026-05-26,mugwort_pollen,0.0,0.0,55.9533,-3.1883
2026-05-26,olive_pollen,0.9,2.7,55.9533,-3.1883
2026-05-26,ragweed_pollen,0.0,0.0,55.9533,-3.1883
2026-05-27,alder_pollen,0.0,0.0,55.9533,-3.1883
2026-05-27,birch_pollen,0.88,1.4,55.9533,-3.1883
2026-05-27,grass_pollen,1.37,2.6,55.9533,-3.1883
2026-05-27,mugwort_pollen,0.0,0.0,55.9533,-3.1883
2026-05-27,olive_pollen,0.15,0.4,55.9533,-3.1883
2026-05-27,ragweed_pollen,0.0,0.0,55.9533,-3.1883
2026-05-28,alder_pollen,0.0,0.0,55.9533,-3.1883
2026-05-28,birch_pollen,0.56,1.3,55.9533,-3.1883
2026-05-28,grass_pollen,4.17,9.2,55.9533,-3.1883
2026-05-28,mugwort_pollen,0.0,0.0,55.9533,-3.1883
2026-05-28,olive_pollen,0.43,0.8,55.9533,-3.1883
2026-05-28,ragweed_pollen,0.0,0.0,55.9533,-3.1883
2026-05-29,alder_pollen,0.0,0.0,55.9533,-3.1883
2026-05-29,birch_pollen,0.0,0.0,55.9533,-3.1883
2026-05-29,grass_pollen,1.38,2.8,55.9533,-3.1883
2026-05-29,mugwort_pollen,0.0,0.0,55.9533,-3.1883
2026-05-29,olive_pollen,0.07,1.1,55.9533,-3.1883
2026-05-29,ragweed_pollen,0.0,0.0,55.9533,-3.1883
2026-05-30,alder_pollen,0.0,0.0,55.9533,-3.1883
2026-05-30,birch_pollen,0.0,0.0,55.9533,-3.1883
2026-05-30,grass_pollen,2.7,6.6,55.9533,-3.1883
2026-05-30,mugwort_pollen,0.0,0.0,55.9533,-3.1883
2026-05-30,olive_pollen,0.0,0.0,55.9533,-3.1883
2026-05-30,ragweed_pollen,0.0,0.0,55.9533,-3.1883
2026-05-31,alder_pollen,0.0,0.0,55.9533,-3.1883
2026-05-31,birch_pollen,0.0,0.0,55.9533,-3.1883
2026-05-31,grass_pollen,1.34,3.1,55.9533,-3.1883
2026-05-31,mugwort_pollen,0.0,0.0,55.9533,-3.1883
2026-05-31,olive_pollen,0.0,0.0,55.9533,-3.1883
2026-05-31,ragweed_pollen,0.0,0.0,55.9533,-3.1883
2026-06-01,alder_pollen,0.0,0.0,55.9533,-3.1883
2026-06-01,birch_pollen,0.0,0.0,55.9533,-3.1883
2026-06-01,grass_pollen,0.66,2.2,55.9533,-3.1883
2026-06-01,mugwort_pollen,0.0,0.0,55.9533,-3.1883
2026-06-01,olive_pollen,0.0,0.0,55.9533,-3.1883
2026-06-01,ragweed_pollen,0.0,0.0,55.9533,-3.1883
2026-06-02,alder_pollen,0.0,0.0,55.9533,-3.1883
2026-06-02,birch_pollen,0.0,0.0,55.9533,-3.1883
2026-06-02,grass_pollen,0.68,3.3,55.9533,-3.1883
2026-06-02,mugwort_pollen,0.0,0.0,55.9533,-3.1883
2026-06-02,olive_pollen,0.0,0.0,55.9533,-3.1883
2026-06-02,ragweed_pollen,0.0,0.0,55.9533,-3.1883
2026-06-03,alder_pollen,0.0,0.0,55.9533,-3.1883
2026-06-03,birch_pollen,0.0,0.0,55.9533,-3.1883
2026-06-03,grass_pollen,0.36,3.3,55.9533,-3.1883
2026-06-03,mugwort_pollen,0.0,0.0,55.9533,-3.1883
2026-06-03,olive_pollen,0.0,0.0,55.9533,-3.1883
2026-06-03,ragweed_pollen,0.0,0.0,55.9533,-3.1883
2026-06-04,alder_pollen,0.0,0.0,55.9533,-3.1883
2026-06-04,birch_pollen,0.0,0.0,55.9533,-3.1883
2026-06-04,grass_pollen,0.51,2.0,55.9533,-3.1883
